Countryofbirth,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,138080,136820,135030,132900,130780,128700,128870,129040,129020,129010,128980,127510,125770,124170,122520,121180,120480,119840,118270,115820,113420,111450,109090,106340,103710
Moldova,430,490,530,550,570,620,650,690,770,810,870,890,920,960,1000,1040,1070,1110,1130,1160,1160,1180,1170,1190,1220
Romania,13130,13720,13800,14020,14180,14380,14670,15040,15350,15680,16110,16300,16390,16530,16650,16720,16890,17030,17080,17070,16970,16970,16780,16720,16740
Slovenia,9460,9250,9050,8860,8640,8440,8590,8680,8740,8760,8860,8750,8670,8530,8380,8260,8210,8190,8140,8060,8000,7870,7530,7340,7150
Montenegro,5170,5200,5160,5300,5330,5330,5120,4840,4450,4020,1850,1900,1890,1900,1880,1850,1890,1940,1980,2030,2070,2040,1990,1980,1970
Serbia,50500,50790,50450,51800,52060,52050,50020,47320,43450,39290,35920,35700,35550,35380,35170,34850,34600,34390,34150,33820,33380,33110,32640,32240,31870
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,350,1120,1390,1410,1430,1430,1440,1470,1480,1450,1440,1450
Belarus,1270,1300,1310,1350,1360,1360,1430,1490,1520,1600,1720,1750,1760,1810,1840,1870,1940,2010,2110,2180,2230,2250,2250,2260,2310
Czechia,13690,13470,13290,13170,13110,13070,13260,13470,13590,13700,13920,13960,13840,13660,13620,13450,13330,13370,13330,13240,13110,13010,12660,12400,12200
Estonia,2450,2310,2180,2070,1970,1860,1830,1770,1720,1660,1600,1640,1700,2000,2240,2430,2710,3170,3440,3440,3450,3630,3730,3730,3650
Hungary,27750,27410,26950,26520,26130,25640,25310,24950,24630,24340,24040,23730,23440,23180,22850,22420,22180,21990,21560,21120,20790,20440,19850,19300,18820
Latvia,9180,8730,8210,7760,7370,6990,6830,6650,6470,6310,6120,6000,5780,5680,5590,5470,5390,5290,5150,4990,4840,4720,4430,4320,4240
Lithuania,4700,4430,4200,4000,3850,3630,3550,3470,3380,3300,3210,3150,3110,3070,3090,3130,3190,3270,3320,3370,3440,3550,3530,3540,3500
Poland,72420,71360,69910,68430,66880,65530,64860,64280,63740,63280,62900,61870,60740,59840,58940,57900,57010,56270,55360,54530,53670,53210,52420,51570,50890
Russia,17190,17640,17200,17080,16800,16710,17220,17600,17730,18110,18540,18890,19450,20120,20780,21500,22590,23900,24880,25760,26490,27170,27570,28000,28670
Slovakia,5840,6000,6090,6230,6360,6430,6300,6200,6150,6060,5970,6000,6000,6000,5990,6020,6180,6400,6560,6720,6790,6830,6710,6630,6540
Ukraine,17560,18350,18100,17530,17040,16660,16580,16530,16620,16800,17010,16800,16640,16440,16360,16280,16480,16660,16850,17090,17180,17250,17170,17190,17170
Algeria,870,940,1000,1090,1170,1240,1270,1310,1330,1330,1330,1340,1360,1370,1380,1400,1440,1520,1580,1600,1640,1660,1660,1700,1730
